source_y,mu_1,mu_2,td_1,td_2
4.11e-05,23.73559,-2.048958,0.0,1.924154e-06
5.542222222222223e-05,10.19171,-1.545885,0.0,2.594669e-06
6.974444444444445e-05,6.760254,-1.185312,0.0,3.265184e-06
8.406666666666669e-05,5.194398,-0.9142043,0.0,3.935699e-06
9.838888888888891e-05,4.297903,-0.7029392,0.0,4.606213e-06
0.00011271111111111113,3.717149,-0.5336722,0.0,5.276728e-06
0.00012703333333333335,3.310309,-0.3950123,0.0,5.947243e-06
0.00014135555555555557,3.009435,-0.279346,0.0,6.617757e-06
0.0001556777777777778,2.777898,-0.181392,0.0,7.288272e-06
0.00017,2.594205,-0.09737093,0.0,7.958786e-06
